Energy consumed for RAM,RAM Power,Energy consumed for all GPUs,Total GPU Power,Energy consumed for all CPUs,Total CPU Power,Electricity used since the beginning
0.005705,4.485667705535889,0.251658,197.86608449883346,0.041343,32.5,0.298706
0.005724,4.485667705535889,0.252484,198.3063708782733,0.041479,32.5,0.299687
0.005743,4.485667705535889,0.253300,195.84631093957717,0.041614,32.5,0.300657
0.005761,4.485667705535889,0.254128,198.74982860515283,0.041749,32.5,0.301639
0.005780,4.485667705535889,0.254953,198.18484357785425,0.041885,32.5,0.302619
0.005799,4.485667705535889,0.255780,198.2554176932295,0.042020,32.5,0.303599
0.005818,4.485667705535889,0.256607,198.5827341908446,0.042156,32.5,0.304580
0.005836,4.485667705535889,0.257431,197.43669435032857,0.042291,32.5,0.305558
0.005855,4.485667705535889,0.258261,198.5244229342055,0.042427,32.5,0.306544
0.005874,4.485667705535889,0.259088,198.03640931762234,0.042563,32.5,0.307524
0.005892,4.485667705535889,0.259899,194.67266264063545,0.042698,32.5,0.308489
0.005911,4.485667705535889,0.260724,198.05153046352467,0.042834,32.5,0.309469
0.005930,4.485667705535889,0.261551,198.48210595856304,0.042969,32.5,0.310450
0.005949,4.485667705535889,0.262382,199.19603280815105,0.043105,32.5,0.311436
0.005967,4.485667705535889,0.263204,197.35815121123883,0.043240,32.5,0.312412
0.005986,4.485667705535889,0.264030,198.10193108276664,0.043376,32.5,0.313391
0.006005,4.485667705535889,0.264861,198.27699370812005,0.043512,32.5,0.314378
0.006023,4.485667705535889,0.265687,198.27225487350762,0.043647,32.5,0.315358
0.006042,4.485667705535889,0.266501,195.2815161440787,0.043783,32.5,0.316326
0.006061,4.485667705535889,0.267328,198.56690678047295,0.043918,32.5,0.317307
0.006079,4.485667705535889,0.268155,198.46514470410213,0.044054,32.5,0.318288
0.006098,4.485667705535889,0.268980,198.04998727519293,0.044189,32.5,0.319267
0.006117,4.485667705535889,0.269804,197.64520330554421,0.044324,32.5,0.320245
0.006136,4.485667705535889,0.270629,198.06939438921466,0.044460,32.5,0.321224
0.006154,4.485667705535889,0.271460,198.7411837264034,0.044596,32.5,0.322210
0.006173,4.485667705535889,0.272285,198.15273629775248,0.044731,32.5,0.323189
0.006192,4.485667705535889,0.273096,194.55228702655967,0.044867,32.5,0.324154
0.006210,4.485667705535889,0.273919,197.62616757142894,0.045002,32.5,0.325132
0.006229,4.485667705535889,0.274744,198.03019352613435,0.045137,32.5,0.326111
0.006248,4.485667705535889,0.275568,197.69038841906837,0.045273,32.5,0.327089
0.006266,4.485667705535889,0.276393,197.97338549849601,0.045408,32.5,0.328068
0.006285,4.485667705535889,0.277218,198.04466938228308,0.045544,32.5,0.329047
0.006304,4.485667705535889,0.278046,198.82306992035427,0.045679,32.5,0.330029
0.006322,4.485667705535889,0.278859,195.13987166821224,0.045815,32.5,0.330996
0.006341,4.485667705535889,0.279686,197.92409912622875,0.045950,32.5,0.331977
